@Username,Tweet,Lokasi
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/ojBIi5sWI8,
rmp_officials,"Hari ini Cak Imin menjemput pesan Kampus di Ujiversitas Trunojoyo Bangkalan Madura 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/eYUYytcNlo",
GHilmysag,"#GusHilmy
@DPP_PKB  @dpwpkbjatim_  @fraksipkbjatim_  @cak_imin  @halimiskandarnu https://t.co/THcn5Jwx7V",
Disuruh_Iben,"Khofifah Jadi Rebutan Anies dan Prabowo, PKB Klaim Tak Khawatir Cak Imin Tergusur - https://t.co/ezxwzWmReO https://t.co/XBu1D2iI0E #IndonesiaKuat #BangkitBersama",Pulau Impian
jenggala_16,"@suandiaza @na_dirs Sayang dulu cak imin mengambil ""paksa"" PKB dari Gus Dur,

Jadi saya tak respek sama sekali sama pkb sekarang,",Indonesia
yanaja095,"@Dahnilanzar Capres 2024 : ganjer Puan Airlangga Cak Imin Ridwan Kamil, yg diserang cuma Anies ¿¿","Bandung, Jawa Barat"
jenggala_16,"@kakali1968 @na_dirs Kenapa bingung? Justru saya bingung kenapa cak imin bisa mengambil PKB dari Gus Dur,

Ketum PBNU Sudah benar,",Indonesia
eranasionalcom,"Cak Imin Sebut KKRI Tidak Akan Umumkan Capres-Cawapres, kenapa? https://t.co/XKmeWZNIMD","Jakarta Selatan, DKI Jakarta"
news_wanheart,"NGimpiiiiii

Berharap Cak Imin Maju Capres 2024, PKB: Wakilnya Pak Prabowo Boleh, Pak Anies Juga Boleh https://t.co/hSmXxYa60u",
jenggala_16,"@na_dirs Ya seperti PKB Gus Dur yg di Ambil Alih/di rebut Cak imin,",Indonesia
rmp_officials,"Selamat pagi menjelang siang tretan Madura, Cak Imin siap menyapa taretan semuanya!

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #GusMuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/QOHA9RoeXl",
Disuruh_Iben,"Berita Prabowo :  Khofifah Jadi Rebutan Anies dan Prabowo Subianto, PKB Klaim Tak Khawatir Cak Imin Tergusur - https://t.co/ezxwzWmReO https://t.co/EOcUxDUntk #IndonesiaKuat #BangkitBersama",Pulau Impian
danysoerya,@miosumio3 @KompasTV Hhhh.... Cak imin udah ga laku,indonesia
Disuruh_Iben,Cak Imin Ungkap Alasan Dibalik Peresmian Sekber Tanggal 23 Januari | Politik - Gatracom https://t.co/2SlBuEAAaE #IndonesiaKuat #BangkitBersama,Pulau Impian
miosumio3,@KompasTV Jgn...males sama si ember...mending sama cak Imin atau puan....,
Ini_ajunk,Prabowo Subianto dan Cak Imin Resmikan Sekretariat Bersama Gerindra dan PKB - https://t.co/VW0spP0AEM https://t.co/Y1F45M8Mug #IndonesiaKuat #BangkitBersama,jakarta
Disuruh_Iben,Prabowo Subianto dan Cak Imin Resmikan Sekretariat Bersama Gerindra dan PKB - https://t.co/uIQa2zrb7q https://t.co/B8phv1mtZQ #IndonesiaKuat #BangkitBersama,Pulau Impian
dody_fm,@na_dirs sy sendiri heran dan salut kok bisa cak imin bisa berkuasa lama di PKB? jaman gus dur bisa banyak konflik  . apa resep @cakimiNOW ?,"Bekasi, Jawa Barat"
darkiemin,@na_dirs Opo gak kasian sama cak imin 🤭,"Jakarta Capital Region, Indone"
WartaEkonomi,"Kubu Anies dan Prabowo Rebutan Khofifah Jadi Cawapres, Nasib Cak Imin Bakal Terpojok? PKB: Kami Nggak Khawatir https://t.co/wHq38fe16Z","Jakarta, Indonesia"
21BeritaTerkini,Cak Imin Optimistis Hakim MK Putuskan Sistem Pemilu Terbuka https://t.co/SfizLTS7fB,
CNNIndonesia,Cak Imin Optimistis Hakim MK Putuskan Sistem Pemilu Terbuka https://t.co/CCJyprMI4e,
Uing0095,"@geloraco @Uing0095 hehee gpp, saya dukung sepenuhnya Cak Imin jadi Capres(saja)😜. masih lumayan dibanding yg suka Parno³🤮🤧🤮","Bandung Kulon, Indonesia"
Disuruh_Iben,"Didaulat jadi Komandan Laskar Ijo Jateng, Cak Imin Beri Tugas Yusuf Chudori Maju Pilkada 2024 - https://t.co/CheAIpsjqC https://t.co/ZeJM8BqqL6 #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,"Cak Imin Lobi Partai Nasdem, Ingin Ubah Peta Politik? - https://t.co/Iuu0VhhxdA – Lensa Politik https://t.co/cIYjNvZqni #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,Kacau Nasib Cak Imin di Ujung Tanduk - https://t.co/rMcvXyHo1a - https://t.co/rMcvXyHo1a https://t.co/ZXS79C2IE2 #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,"Usul Cak Imin Hapus Jabatan Gubernur, Wagub Sumbar: Itu Sah-Sah Saja - Netralnews https://t.co/F5pNsduy3b #IndonesiaKuat #BangkitBersama",Pulau Impian
